# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Hossein\Desktop\LC_FPGA(V2).csv
# Generated on: Sun Jan 17 11:51:28 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clear,Input,PIN_V2,1,B1_N0,PIN_V2,,,,
clk,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
enter,Input,PIN_V1,1,B1_N0,PIN_V1,,,,
errOut,Output,PIN_AA13,7,B7_N1,PIN_AA13,,,,
inputNums[9],Input,PIN_A13,4,B4_N1,PIN_A13,,,,
inputNums[8],Input,PIN_B13,4,B4_N1,PIN_B13,,,,
inputNums[7],Input,PIN_C13,3,B3_N0,PIN_C13,,,,
inputNums[6],Input,PIN_AC13,8,B8_N0,PIN_AC13,,,,
inputNums[5],Input,PIN_AD13,8,B8_N0,PIN_AD13,,,,
inputNums[4],Input,PIN_AF14,7,B7_N1,PIN_AF14,,,,
inputNums[3],Input,PIN_AE14,7,B7_N1,PIN_AE14,,,,
inputNums[2],Input,PIN_P25,6,B6_N0,PIN_P25,,,,
inputNums[1],Input,PIN_N26,5,B5_N1,PIN_N26,,,,
inputNums[0],Input,PIN_N25,5,B5_N1,PIN_N25,,,,
number,Input,PIN_U4,1,B1_N0,PIN_U4,,,,
outNumbers[55],Output,PIN_N9,2,B2_N1,PIN_E2,,,,
outNumbers[54],Output,PIN_P9,2,B2_N1,PIN_H15,,,,
outNumbers[53],Output,PIN_L7,2,B2_N1,PIN_W17,,,,
outNumbers[52],Output,PIN_L6,2,B2_N1,PIN_A6,,,,
outNumbers[51],Output,PIN_L9,2,B2_N1,PIN_AD5,,,,
outNumbers[50],Output,PIN_L2,2,B2_N1,PIN_H8,,,,
outNumbers[49],Output,PIN_L3,2,B2_N1,PIN_A23,,,,
outNumbers[48],Output,PIN_M4,2,B2_N1,PIN_B23,,,,
outNumbers[47],Output,PIN_M5,2,B2_N1,PIN_B10,,,,
outNumbers[46],Output,PIN_M3,2,B2_N1,PIN_G14,,,,
outNumbers[45],Output,PIN_M2,2,B2_N1,PIN_F26,,,,
outNumbers[44],Output,PIN_P3,1,B1_N0,PIN_C8,,,,
outNumbers[43],Output,PIN_P4,1,B1_N0,PIN_N9,,,,
outNumbers[42],Output,PIN_R2,1,B1_N0,PIN_AE10,,,,
outNumbers[41],Output,PIN_R3,1,B1_N0,PIN_AE17,,,,
outNumbers[40],Output,PIN_R4,1,B1_N0,PIN_J22,,,,
outNumbers[39],Output,PIN_R5,1,B1_N0,PIN_L9,,,,
outNumbers[38],Output,PIN_T9,1,B1_N0,PIN_J9,,,,
outNumbers[37],Output,PIN_P7,1,B1_N0,PIN_A5,,,,
outNumbers[36],Output,PIN_P6,1,B1_N0,PIN_U12,,,,
outNumbers[35],Output,PIN_T2,1,B1_N0,PIN_AA12,,,,
outNumbers[34],Output,PIN_T3,1,B1_N0,PIN_T3,,,,
outNumbers[33],Output,PIN_R6,1,B1_N0,PIN_R6,,,,
outNumbers[32],Output,PIN_R7,1,B1_N0,PIN_R7,,,,
outNumbers[31],Output,PIN_T4,1,B1_N0,PIN_T4,,,,
outNumbers[30],Output,PIN_U2,1,B1_N0,PIN_U2,,,,
outNumbers[29],Output,PIN_U1,1,B1_N0,PIN_U1,,,,
outNumbers[28],Output,PIN_U9,1,B1_N0,PIN_U9,,,,
outNumbers[27],Output,PIN_W24,6,B6_N1,PIN_W24,,,,
outNumbers[26],Output,PIN_U22,6,B6_N1,PIN_U22,,,,
outNumbers[25],Output,PIN_Y25,6,B6_N1,PIN_Y25,,,,
outNumbers[24],Output,PIN_Y26,6,B6_N1,PIN_Y26,,,,
outNumbers[23],Output,PIN_AA26,6,B6_N1,PIN_AA26,,,,
outNumbers[22],Output,PIN_AA25,6,B6_N1,PIN_AA25,,,,
outNumbers[21],Output,PIN_Y23,6,B6_N1,PIN_Y23,,,,
outNumbers[20],Output,PIN_Y24,6,B6_N1,PIN_Y24,,,,
outNumbers[19],Output,PIN_AB25,6,B6_N1,PIN_AB25,,,,
outNumbers[18],Output,PIN_AB26,6,B6_N1,PIN_AB26,,,,
outNumbers[17],Output,PIN_AC26,6,B6_N1,PIN_AC26,,,,
outNumbers[16],Output,PIN_AC25,6,B6_N1,PIN_AC25,,,,
outNumbers[15],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
outNumbers[14],Output,PIN_AB23,6,B6_N1,PIN_AB23,,,,
outNumbers[13],Output,PIN_AB24,6,B6_N1,PIN_AB24,,,,
outNumbers[12],Output,PIN_AA23,6,B6_N1,PIN_AA23,,,,
outNumbers[11],Output,PIN_AA24,6,B6_N1,PIN_AA24,,,,
outNumbers[10],Output,PIN_Y22,6,B6_N1,PIN_Y22,,,,
outNumbers[9],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
outNumbers[8],Output,PIN_V21,6,B6_N1,PIN_V21,,,,
outNumbers[7],Output,PIN_V20,6,B6_N1,PIN_V20,,,,
outNumbers[6],Output,PIN_V13,8,B8_N0,PIN_V13,,,,
outNumbers[5],Output,PIN_V14,8,B8_N0,PIN_V14,,,,
outNumbers[4],Output,PIN_AE11,8,B8_N0,PIN_AE11,,,,
outNumbers[3],Output,PIN_AD11,8,B8_N0,PIN_AD11,,,,
outNumbers[2],Output,PIN_AC12,8,B8_N0,PIN_AC12,,,,
outNumbers[1],Output,PIN_AB12,8,B8_N0,PIN_AB12,,,,
outNumbers[0],Output,PIN_AF10,8,B8_N0,PIN_AF10,,,,
total,Input,PIN_U3,1,B1_N0,PIN_U3,,,,
